商品,销售额,销售量
"野生银鲳鱼整箱无冰衣净重3斤（冷冻）	",647.7,13
"鲜活大梭子蟹500g	",240,4
"鲜冻青虾仁去虾线特级1200g（冷冻）	",175.8,2
"南海冷冻笔管鱿鱼300g	",145.9,8
"紫菜干货免洗霞浦海产5包装125g	",140.19,19
"国产大对虾基围虾海虾三盒1200g（冷冻）	",89.9,1
"智利柠檬2个185g	",23.7,3
"之江水煮冬笋片180g	",21.8,2
"冷冻墨鱼仔250g	",19.9,1
"绝世整切眼肉牛排130g	",19.8,1
"夜开花600g	",13.5,3
"益客冷鲜鸡翅根400g	",12.9,1
"之江嫩笋尾300g	",10.8,1
"益客冷冻鸭肠200g	",9.9,1
"冷冻鱿鱼花200g	",9.9,1
"新西兰佳沛阳光金奇异果2个160g	",9.9,1
"小冬瓜1.6kg	",8.8,1
"长丝瓜600g	",6.5,1
"四川安岳黄柠檬4个300g	",4.99,1
"云南高山上海青500g	",4.9,1
"黄豆芽300g	",3,2
"小黄豆芽300g	",1.99,1
